,Topic,Probability,created_at,date,week_start
1088,Topic 0,0,Fri Jan 01 17:27:24 +0000 2021,1/1/21,12/27/20
1089,Topic 0,0,Fri Jan 01 22:29:28 +0000 2021,1/1/21,12/27/20
1090,Topic 0,0,Sat Jan 02 00:15:40 +0000 2021,1/2/21,12/27/20
1091,Topic 0,0,Sat Jan 02 15:02:22 +0000 2021,1/2/21,12/27/20
1092,Topic 0,0,Sat Jan 02 15:00:55 +0000 2021,1/2/21,12/27/20
1093,Topic 0,0,Sat Jan 02 14:31:15 +0000 2021,1/2/21,12/27/20
1094,Topic 0,0,Sat Jan 02 11:41:14 +0000 2021,1/2/21,12/27/20
1095,Topic 0,0,Sat Jan 02 11:17:59 +0000 2021,1/2/21,12/27/20
1096,Topic 0,0,Sat Jan 02 10:54:42 +0000 2021,1/2/21,12/27/20
1097,Topic 0,0,Sat Jan 02 10:21:22 +0000 2021,1/2/21,12/27/20
1098,Topic 0,0,Sat Jan 02 09:29:49 +0000 2021,1/2/21,12/27/20
1099,Topic 0,0,Sat Jan 02 07:46:03 +0000 2021,1/2/21,12/27/20
1100,Topic 0,0,Sat Jan 02 07:38:30 +0000 2021,1/2/21,12/27/20
1101,Topic 0,0,Sat Jan 02 06:27:20 +0000 2021,1/2/21,12/27/20
1102,Topic 0,0,Sat Jan 02 05:59:21 +0000 2021,1/2/21,12/27/20
1103,Topic 0,0,Sat Jan 02 05:38:52 +0000 2021,1/2/21,12/27/20
1104,Topic 0,0,Sat Jan 02 05:12:19 +0000 2021,1/2/21,12/27/20
1105,Topic 0,0,Sat Jan 02 04:57:20 +0000 2021,1/2/21,12/27/20
1106,Topic 0,0,Sat Jan 02 04:52:22 +0000 2021,1/2/21,12/27/20
1107,Topic 0,0,Sat Jan 02 04:32:52 +0000 2021,1/2/21,12/27/20
1108,Topic 0,0,Sat Jan 02 03:40:12 +0000 2021,1/2/21,12/27/20
1109,Topic 0,0,Sat Jan 02 03:19:35 +0000 2021,1/2/21,12/27/20
1110,Topic 0,0,Sat Jan 02 02:31:01 +0000 2021,1/2/21,12/27/20
1111,Topic 0,0,Sat Jan 02 02:10:19 +0000 2021,1/2/21,12/27/20
1112,Topic 0,0,Sat Jan 02 00:40:24 +0000 2021,1/2/21,12/27/20
1113,Topic 0,0,Sat Jan 02 00:38:21 +0000 2021,1/2/21,12/27/20
1114,Topic 0,0,Wed Jan 06 13:21:06 +0000 2021,1/6/21,1/3/21
1115,Topic 0,0,Wed Jan 06 13:04:20 +0000 2021,1/6/21,1/3/21
1116,Topic 0,0,Sun Feb 14 01:17:01 +0000 2021,2/14/21,2/14/21
1117,Topic 0,0,Tue Dec 29 16:00:01 +0000 2020,12/29/20,12/27/20
1118,Topic 0,0,Tue Dec 29 02:25:10 +0000 2020,12/29/20,12/27/20
1119,Topic 0,0,Tue Dec 29 01:40:03 +0000 2020,12/29/20,12/27/20
1120,Topic 0,0,Tue Dec 29 01:34:05 +0000 2020,12/29/20,12/27/20
1121,Topic 0,0,Tue Dec 29 01:29:03 +0000 2020,12/29/20,12/27/20
1122,Topic 0,0,Tue Dec 29 01:17:31 +0000 2020,12/29/20,12/27/20
1123,Topic 0,0,Tue Dec 29 00:56:56 +0000 2020,12/29/20,12/27/20
1124,Topic 0,0,Tue Dec 29 00:56:01 +0000 2020,12/29/20,12/27/20
1125,Topic 0,0,Tue Dec 29 00:19:08 +0000 2020,12/29/20,12/27/20
1126,Topic 0,0,Tue Dec 29 00:10:18 +0000 2020,12/29/20,12/27/20
1127,Topic 0,0,Mon Dec 28 23:03:19 +0000 2020,12/28/20,12/27/20
1128,Topic 0,0,Mon Dec 28 22:58:21 +0000 2020,12/28/20,12/27/20
1129,Topic 0,0,Tue Dec 29 15:39:33 +0000 2020,12/29/20,12/27/20
1130,Topic 0,0,Tue Dec 29 02:54:45 +0000 2020,12/29/20,12/27/20
1131,Topic 0,0,Tue Dec 29 14:42:41 +0000 2020,12/29/20,12/27/20
1132,Topic 0,0,Tue Dec 29 08:04:37 +0000 2020,12/29/20,12/27/20
1133,Topic 0,0,Tue Dec 29 07:27:33 +0000 2020,12/29/20,12/27/20
1134,Topic 0,0,Tue Dec 29 07:09:18 +0000 2020,12/29/20,12/27/20
1135,Topic 0,0,Tue Dec 29 05:27:59 +0000 2020,12/29/20,12/27/20
1136,Topic 0,0,Tue Dec 29 23:37:57 +0000 2020,12/29/20,12/27/20
1137,Topic 0,0,Tue Dec 29 23:06:46 +0000 2020,12/29/20,12/27/20
1138,Topic 0,0,Tue Dec 29 22:58:18 +0000 2020,12/29/20,12/27/20
1139,Topic 0,0,Tue Dec 29 18:20:42 +0000 2020,12/29/20,12/27/20
1140,Topic 0,0,Wed Dec 30 08:28:04 +0000 2020,12/30/20,12/27/20
1141,Topic 0,0,Wed Dec 30 08:16:11 +0000 2020,12/30/20,12/27/20
1142,Topic 0,0,Tue Dec 29 02:34:54 +0000 2020,12/29/20,12/27/20
1143,Topic 0,0,Tue Dec 29 03:32:21 +0000 2020,12/29/20,12/27/20
1144,Topic 0,0,Wed Dec 30 03:30:06 +0000 2020,12/30/20,12/27/20
1145,Topic 0,0,Mon Dec 28 10:49:31 +0000 2020,12/28/20,12/27/20
1146,Topic 0,0,Sun Dec 27 15:47:09 +0000 2020,12/27/20,12/27/20
1147,Topic 0,0,Sun Dec 27 13:25:22 +0000 2020,12/27/20,12/27/20
1148,Topic 0,0,Mon Dec 28 16:13:42 +0000 2020,12/28/20,12/27/20
1149,Topic 0,0,Mon Dec 28 16:11:31 +0000 2020,12/28/20,12/27/20
1150,Topic 0,0,Mon Dec 28 16:08:00 +0000 2020,12/28/20,12/27/20
1151,Topic 0,0,Mon Dec 28 15:33:29 +0000 2020,12/28/20,12/27/20
1152,Topic 0,0,Mon Dec 28 13:42:34 +0000 2020,12/28/20,12/27/20
